Material Description                    , Plant, Period, Year, Amount in LC       , Quantity
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 12949.454545454544 , 453.03030303030306
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 13088.50909090909  , 457.8787878787879
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 9681.672727272726  , 339.0909090909091
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 9646.90909090909   , 337.8787878787879
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 13801.163636363635 , 482.72727272727275
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 13783.781818181817 , 482.1212121212121
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 12601.81818181818  , 440.90909090909093
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 12410.618181818181 , 434.24242424242425
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 10602.90909090909  , 371.21212121212125
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 10811.490909090908 , 378.4848484848485
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 12480.145454545453 , 436.6666666666667
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 12445.381818181817 , 435.4545454545455
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 9594.763636363636  , 336.06060606060606
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 9420.945454545454  , 330.0
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 7178.6909090909085 , 251.81818181818184
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 7265.599999999999  , 254.84848484848487
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 4814.763636363636  , 169.3939393939394
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 4780.0             , 168.1818181818182
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 3354.6909090909085 , 118.48484848484848
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 3441.6             , 121.51515151515152
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 1355.781818181818  , 48.78787878787879
Crate: Brown Quart                      , AA   , 7     , 2022, -684.2727272727273 , -45.75757575757576
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 9751.199999999999  , 341.51515151515156
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 9768.581818181818  , 342.1212121212121
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 8743.054545454544  , 306.3636363636364
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 8603.999999999998  , 301.51515151515156
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 9542.61818181818   , 334.24242424242425
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 10255.272727272726 , 359.0909090909091
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 10237.89090909091  , 358.4848484848485
